Input,,,,,,Ouput
22500,-9.27,857000000,1.8,9.27,1710000000,2.13
22500,-9.27,857000000,2.4,9.27,1710000000,1.7
22500,-9.27,857000000,3,9.27,1710000000,1.42
22500,-9.27,857000000,3.6,9.27,1710000000,1.23
22500,-9.27,857000000,4.2,9.27,1710000000,1.13
22100,-6.39,290000000,1.8,6.39,580000000,1.43
22500,-6.39,290000000,2.4,6.39,580000000,1.17
22500,-6.39,290000000,3,6.39,580000000,0.99
22500,-6.39,290000000,3.6,6.39,580000000,0.84
22500,-6.39,290000000,4.2,6.39,580000000,0.73
55300,-17.1,10500000000,1.8,17.14,20900000000,7.93
55300,-17.1,10500000000,2.4,17.14,20900000000,7.32
55300,-17.1,10500000000,3,17.14,20900000000,6.74
55300,-17.1,10500000000,3.6,17.14,20900000000,6.2
55300,-17.1,10500000000,4.2,17.14,20900000000,5.7
25500,-11.1,394000000,1.8,11.13,788000000,1.26
25500,-11.1,394000000,2.4,11.13,788000000,0.94
25500,-11.1,394000000,3,11.13,788000000,0.74
25500,-11.1,394000000,3.6,11.13,788000000,0.6
25500,-11.1,394000000,4.2,11.13,788000000,0.42
20600,-18.8,1500000000,1.8,18.8,3000000000,3.54
20600,-18.8,1500000000,2.4,18.8,3000000000,3.48
20600,-18.8,1500000000,3,18.8,3000000000,3.54
20600,-18.8,1500000000,3.6,18.8,3000000000,3.52
20600,-18.8,1500000000,4.2,18.8,3000000000,3.4
41500,-14.4,5320000000,1.8,14.39,10600000000,6.28
41500,-14.4,5320000000,2.4,14.39,10600000000,5.78
41500,-14.4,5320000000,3,14.39,10600000000,5.3
41500,-14.4,5320000000,3.6,14.39,10600000000,4.8
41500,-14.4,5320000000,4.2,14.39,10600000000,4.39
32900,-5.98,785000000,1.8,5.98,1570000000,2.35
32900,-5.98,785000000,2.4,5.98,1570000000,2.16
32900,-5.98,785000000,3,5.98,1570000000,2.01
32900,-5.98,785000000,3.6,5.98,1570000000,1.9
32900,-5.98,785000000,4.2,5.98,1570000000,1.84
25200,-12.6,1730000000,1.8,12.56,3460000000,2.87
25200,-12.6,1730000000,2.4,12.56,3460000000,2.38
25200,-12.6,1730000000,3,12.56,3460000000,1.97
25200,-12.6,1730000000,3.6,12.56,3460000000,1.69
25200,-12.6,1730000000,4.2,12.56,3460000000,1.5
25500,-7.8,399000000,1.8,7.8,798000000,1.8
25500,-7.8,399000000,2.4,7.8,798000000,1.43
25500,-7.8,399000000,3,7.8,798000000,1.2
25500,-7.8,399000000,3.6,7.8,798000000,1.01
25500,-7.8,399000000,4.2,7.8,798000000,0.88
41800,-14.6,5270000000,1.8,14.61,10500000000,4.8
41800,-14.6,5270000000,2.4,14.61,10500000000,4.56
41800,-14.6,5270000000,3,14.61,10500000000,4.3
41800,-14.6,5270000000,3.6,14.61,10500000000,4.06
41800,-14.6,5270000000,4.2,14.61,10500000000,3.91
33200,-6.41,776000000,1.8,6.41,1550000000,3.54
33200,-6.41,776000000,2.4,6.41,1550000000,3.04
33200,-6.41,776000000,3,6.41,1550000000,2.61
33200,-6.41,776000000,3.6,6.41,1550000000,2.25
33200,-6.41,776000000,4.2,6.41,1550000000,1.94
50200,-15.1,5420000000,1.8,15.12,10800000000,5.4
50200,-15.1,5420000000,2.4,15.12,10800000000,6.04
50200,-15.1,5420000000,3,15.12,10800000000,5.48
50200,-15.1,5420000000,3.6,15.12,10800000000,4.96
50200,-15.1,5420000000,4.2,15.12,10800000000,4.48
39600,-6.95,1010000000,1.8,6.95,2020000000,4.06
39600,-6.95,1010000000,2.4,6.95,2020000000,3.5
39600,-6.95,1010000000,3,6.95,2020000000,3.01
39600,-6.95,1010000000,3.6,6.95,2020000000,2.59
39600,-6.95,1010000000,4.2,6.95,2020000000,3.01
66900,-15.6,16200000000,1.8,15.56,32400000000,7.43
66900,-15.6,16200000000,2.4,15.56,32400000000,7.24
66900,-15.6,16200000000,3,15.56,32400000000,6.66
66900,-15.6,16200000000,3.6,15.56,32400000000,5.95
66900,-15.6,16200000000,4.2,15.56,32400000000,5.68
