Sxc,Iy,Load to shear centre (X),Cw, (Mirrored section),J,G0,Beta,Lb,Centroid to load,X0,Input-sssss,Output
22467.8408,80338,8.8435,304838656,856500000,853.16,76.0652,-10.0691,1.8,9.2662,18.1097,1713000000,2.13
22467.8408,80338,8.8435,304838656,856500000,853.16,76.0652,-10.0691,2.4,9.2662,18.1097,1713000000,1.7
22467.8408,80338,8.8435,304838656,856500000,853.16,76.0652,-10.0691,3,9.2662,18.1097,1713000000,1.42
22467.8408,80338,8.8435,304838656,856500000,853.16,76.0652,-10.0691,3.6,9.2662,18.1097,1713000000,1.23
22467.8408,80338,8.8435,304838656,856500000,853.16,76.0652,-10.0691,4.2,9.2662,18.1097,1713000000,1.13
22128.9502,38566,4.0228,122729190,289975000,1161.9994,64.3,12.8872,1.8,6.39,10.4128,579950000,1.43
22467.8408,38566,4.0228,122729190,289975000,1161.9994,64.3,12.8872,2.4,6.39,10.4128,579950000,1.17
22467.8408,38566,4.0228,122729190,289975000,1161.9994,64.3,12.8872,3,6.39,10.4128,579950000,0.99
22467.8408,38566,4.0228,122729190,289975000,1161.9994,64.3,12.8872,3.6,6.39,10.4128,579950000,0.84
22467.8408,38566,4.0228,122729190,289975000,1161.9994,64.3,12.8872,4.2,6.39,10.4128,579950000,0.73
55291.2234,651420,25.4695,1653100000,10455500000,5892.4,92.36,-47.724,1.8,17.143,42.6125,20911000000,7.93
55291.2234,651420,25.4695,1653100000,10455500000,5892.4,92.36,-47.724,2.4,17.143,42.6125,20911000000,7.32
55291.2234,651420,25.4695,1653100000,10455500000,5892.4,92.36,-47.724,3,17.143,42.6125,20911000000,6.74
55291.2234,651420,25.4695,1653100000,10455500000,5892.4,92.36,-47.724,3.6,17.143,42.6125,20911000000,6.2
55291.2234,651420,25.4695,1653100000,10455500000,5892.4,92.36,-47.724,4.2,17.143,42.6125,20911000000,5.7
25519,62881,-2.5559,182810000,394230000,846.1,58.954,-20.852,1.8,11.1329,8.577,788460000,1.26
25519,62881,-2.5559,182810000,394230000,846.1,58.954,-20.852,2.4,11.1329,8.577,788460000,0.94
25519,62881,-2.5559,182810000,394230000,846.1,58.954,-20.852,3,11.1329,8.577,788460000,0.74
25519,62881,-2.5559,182810000,394230000,846.1,58.954,-20.852,3.6,11.1329,8.577,788460000,0.6
25519,62881,-2.5559,182810000,394230000,846.1,58.954,-20.852,4.2,11.1329,8.577,788460000,0.42
20616,222600,-0.9247,637740000,1501050000,2559.5,63.439,-28.596,1.8,18.7987,17.874,3002100000,3.54
20616,222600,-0.9247,637740000,1501050000,2559.5,63.439,-28.596,2.4,18.7987,17.874,3002100000,3.48
20616,222600,-0.9247,637740000,1501050000,2559.5,63.439,-28.596,3,18.7987,17.874,3002100000,3.54
20616,222600,-0.9247,637740000,1501050000,2559.5,63.439,-28.596,3.6,18.7987,17.874,3002100000,3.52
20616,222600,-0.9247,637740000,1501050000,2559.5,63.439,-28.596,4.2,18.7987,17.874,3002100000,3.4
41544,412790,28.1172,1323400000,5324500000,3998.6,73.721,-32.044,1.8,14.3888,42.506,10649000000,6.28
41544,412790,28.1172,1323400000,5324500000,3998.6,73.721,-32.044,2.4,14.3888,42.506,10649000000,5.78
41544,412790,28.1172,1323400000,5324500000,3998.6,73.721,-32.044,3,14.3888,42.506,10649000000,5.3
41544,412790,28.1172,1323400000,5324500000,3998.6,73.721,-32.044,3.6,14.3888,42.506,10649000000,4.8
